1,0,18,30,1000
1,1,17,31,1001
1,2,16,32,1002
1,3,15,33,1003
1,4,15,34,1004
1,5,15,35,1005
1,6,14,36,1006
1,7,15,37,1007
1,8,16,38,1008
1,9,18,39,1009
1,10,20,40,1010
1,11,22,41,1011
1,12,23,42,1012
1,13,24,43,1013
1,14,24,44,1014
1,15,25,45,1015
1,16,25,46,1016
1,17,24,47,1017
1,18,22,48,1018
1,19,21,49,1019
1,20,19,50,1020
1,21,18,51,1021
1,22,18,52,1022
1,23,18,53,1023
2,0,18,30,1000
2,1,17,31,1001
2,2,16,32,1002
2,3,15,33,1003
2,4,15,34,1004
2,5,15,35,1005
2,6,14,36,1006
2,7,15,37,1007
2,8,16,38,1008
2,9,18,39,1009
2,10,20,40,1010
2,11,22,41,1011
2,12,23,42,1012
2,13,24,43,1013
2,14,24,44,1014
2,15,25,45,1015
2,16,25,46,1016
2,17,24,47,1017
2,18,22,48,1018
2,19,21,49,1019
2,20,19,50,1020
2,21,18,51,1021
2,22,18,52,1022
2,23,18,53,1023
3,0,18,30,1000
3,1,17,31,1001
3,2,16,32,1002
3,3,15,33,1003
3,4,15,34,1004
3,5,15,35,1005
3,6,14,36,1006
3,7,15,37,1007
3,8,16,38,1008
3,9,18,39,1009
3,10,20,40,1010
3,11,22,41,1011
3,12,23,42,1012
3,13,24,43,1013
3,14,24,44,1014
3,15,25,45,1015
3,16,25,46,1016
3,17,24,47,1017
3,18,22,48,1018
3,19,21,49,1019
3,20,19,50,1020
3,21,18,51,1021
3,22,18,52,1022
3,23,18,53,1023
4,0,18,30,1000
4,1,17,31,1001
4,2,16,32,1002
4,3,15,33,1003
4,4,15,34,1004
4,5,15,35,1005
4,6,14,36,1006
4,7,15,37,1007
4,8,16,38,1008
4,9,18,39,1009
4,10,20,40,1010
4,11,22,41,1011
4,12,23,42,1012
4,13,24,43,1013
4,14,24,44,1014
4,15,25,45,1015
4,16,25,46,1016
4,17,24,47,1017
4,18,22,48,1018
4,19,21,49,1019
4,20,19,50,1020
4,21,18,51,1021
4,22,18,52,1022
4,23,18,53,1023
5,0,18,30,1000
5,1,17,31,1001
5,2,16,32,1002
5,3,15,33,1003
5,4,15,34,1004
5,5,15,35,1005
5,6,14,36,1006
5,7,15,37,1007
5,8,16,38,1008
5,9,18,39,1009
5,10,20,40,1010
5,11,22,41,1011
5,12,23,42,1012
5,13,24,43,1013
5,14,24,44,1014
5,15,25,45,1015
5,16,25,46,1016
5,17,24,47,1017
5,18,22,48,1018
5,19,21,49,1019
5,20,19,50,1020
5,21,18,51,1021
5,22,18,52,1022
5,23,18,53,1023
6,0,18,30,1000
6,1,17,31,1001
6,2,16,32,1002
6,3,15,33,1003
6,4,15,34,1004
6,5,15,35,1005
6,6,14,36,1006
6,7,15,37,1007
6,8,16,38,1008
6,9,18,39,1009
6,10,20,40,1010
6,11,22,41,1011
6,12,23,42,1012
6,13,24,43,1013
6,14,24,44,1014
6,15,25,45,1015
6,16,25,46,1016
6,17,24,47,1017
6,18,22,48,1018
6,19,21,49,1019
6,20,19,50,1020
6,21,18,51,1021
6,22,18,52,1022
6,23,18,53,1023
7,0,18,30,1000
7,1,17,31,1001
7,2,16,32,1002
7,3,15,33,1003
7,4,15,34,1004
7,5,15,35,1005
7,6,14,36,1006
7,7,15,37,1007
7,8,16,38,1008
7,9,18,39,1009
7,10,20,40,1010
7,11,22,41,1011
7,12,23,42,1012
7,13,24,43,1013
7,14,24,44,1014
7,15,25,45,1015
7,16,25,46,1016
7,17,24,47,1017
7,18,22,48,1018
7,19,21,49,1019
7,20,19,50,1020
7,21,18,51,1021
7,22,18,52,1022
7,23,18,53,1023
8,0,18,30,1000
8,1,17,31,1001
8,2,16,32,1002
8,3,15,33,1003
8,4,15,34,1004
8,5,15,35,1005
8,6,14,36,1006
8,7,15,37,1007
8,8,16,38,1008
8,9,18,39,1009
8,10,20,40,1010
8,11,22,41,1011
8,12,23,42,1012
8,13,24,43,1013
8,14,24,44,1014
8,15,25,45,1015
8,16,25,46,1016
8,17,24,47,1017
8,18,22,48,1018
8,19,21,49,1019
8,20,19,50,1020
8,21,18,51,1021
8,22,18,52,1022
8,23,18,53,1023
9,0,18,30,1000
9,1,17,31,1001
9,2,16,32,1002
9,3,15,33,1003
9,4,15,34,1004
9,5,15,35,1005
9,6,14,36,1006
9,7,15,37,1007
9,8,16,38,1008
9,9,18,39,1009
9,10,20,40,1010
9,11,22,41,1011
9,12,23,42,1012
9,13,24,43,1013
9,14,24,44,1014
9,15,25,45,1015
9,16,25,46,1016
9,17,24,47,1017
9,18,22,48,1018
9,19,21,49,1019
9,20,19,50,1020
9,21,18,51,1021
9,22,18,52,1022
9,23,18,53,1023
10,0,18,30,1000
10,1,17,31,1001
10,2,16,32,1002
10,3,15,33,1003
10,4,15,34,1004
10,5,15,35,1005
10,6,14,36,1006
10,7,15,37,1007
10,8,16,38,1008
10,9,18,39,1009
10,10,20,40,1010
10,11,22,41,1011
10,12,23,42,1012
10,13,24,43,1013
10,14,24,44,1014
10,15,25,45,1015
10,16,25,46,1016
10,17,24,47,1017
10,18,22,48,1018
10,19,21,49,1019
10,20,19,50,1020
10,21,18,51,1021
10,22,18,52,1022
10,23,18,53,1023
11,0,18,30,1000
11,1,17,31,1001
11,2,16,32,1002
11,3,15,33,1003
11,4,15,34,1004
11,5,15,35,1005
11,6,14,36,1006
11,7,15,37,1007
11,8,16,38,1008
11,9,18,39,1009
11,10,20,40,1010
11,11,22,41,1011
11,12,23,42,1012
11,13,24,43,1013
11,14,24,44,1014
11,15,25,45,1015
11,16,25,46,1016
11,17,24,47,1017
11,18,22,48,1018
11,19,21,49,1019
11,20,19,50,1020
11,21,18,51,1021
11,22,18,52,1022
11,23,18,53,1023
12,0,18,30,1000
12,1,17,31,1001
12,2,16,32,1002
12,3,15,33,1003
12,4,15,34,1004
12,5,15,35,1005
12,6,14,36,1006
12,7,15,37,1007
12,8,16,38,1008
12,9,18,39,1009
12,10,20,40,1010
12,11,22,41,1011
12,12,23,42,1012
12,13,24,43,1013
12,14,24,44,1014
12,15,25,45,1015
12,16,25,46,1016
12,17,24,47,1017
12,18,22,48,1018
12,19,21,49,1019
12,20,19,50,1020
12,21,18,51,1021
12,22,18,52,1022
12,23,18,53,1023
13,0,18,30,1000
13,1,17,31,1001
13,2,16,32,1002
13,3,15,33,1003
13,4,15,34,1004
13,5,15,35,1005
13,6,14,36,1006
13,7,15,37,1007
13,8,16,38,1008
13,9,18,39,1009
13,10,20,40,1010
13,11,22,41,1011
13,12,23,42,1012
13,13,24,43,1013
13,14,24,44,1014
13,15,25,45,1015
13,16,25,46,1016
13,17,24,47,1017
13,18,22,48,1018
13,19,21,49,1019
13,20,19,50,1020
13,21,18,51,1021
13,22,18,52,1022
13,23,18,53,1023
14,0,18,30,1000
14,1,17,31,1001
14,2,16,32,1002
14,3,15,33,1003
14,4,15,34,1004
14,5,15,35,1005
14,6,14,36,1006
14,7,15,37,1007
14,8,16,38,1008
14,9,18,39,1009
14,10,20,40,1010
14,11,22,41,1011
14,12,23,42,1012
14,13,24,43,1013
14,14,24,44,1014
14,15,25,45,1015
14,16,25,46,1016
14,17,24,47,1017
14,18,22,48,1018
14,19,21,49,1019
14,20,19,50,1020
14,21,18,51,1021
14,22,18,52,1022
14,23,18,53,1023
15,0,18,30,1000
15,1,17,31,1001
15,2,16,32,1002
15,3,15,33,1003
15,4,15,34,1004
15,5,15,35,1005
15,6,14,36,1006
15,7,15,37,1007
15,8,16,38,1008
15,9,18,39,1009
15,10,20,40,1010
15,11,22,41,1011
15,12,23,42,1012
15,13,24,43,1013
15,14,24,44,1014
15,15,25,45,1015
15,16,25,46,1016
15,17,24,47,1017
15,18,22,48,1018
15,19,21,49,1019
15,20,19,50,1020
15,21,18,51,1021
15,22,18,52,1022
15,23,18,53,1023
16,0,18,30,1000
16,1,17,31,1001
16,2,16,32,1002
16,3,15,33,1003
16,4,15,34,1004
16,5,15,35,1005
16,6,14,36,1006
16,7,15,37,1007
16,8,16,38,1008
16,9,18,39,1009
16,10,20,40,1010
16,11,22,41,1011
16,12,23,42,1012
16,13,24,43,1013
16,14,24,44,1014
16,15,25,45,1015
16,16,25,46,1016
16,17,24,47,1017
16,18,22,48,1018
16,19,21,49,1019
16,20,19,50,1020
16,21,18,51,1021
16,22,18,52,1022
16,23,18,53,1023
17,0,18,30,1000
17,1,17,31,1001
17,2,16,32,1002
17,3,15,33,1003
17,4,15,34,1004
17,5,15,35,1005
17,6,14,36,1006
17,7,15,37,1007
17,8,16,38,1008
17,9,18,39,1009
17,10,20,40,1010
17,11,22,41,1011
17,12,23,42,1012
17,13,24,43,1013
17,14,24,44,1014
17,15,25,45,1015
17,16,25,46,1016
17,17,24,47,1017
17,18,22,48,1018
17,19,21,49,1019
17,20,19,50,1020
17,21,18,51,1021
17,22,18,52,1022
17,23,18,53,1023
18,0,18,30,1000
18,1,17,31,1001
18,2,16,32,1002
18,3,15,33,1003
18,4,15,34,1004
18,5,15,35,1005
18,6,14,36,1006
18,7,15,37,1007
18,8,16,38,1008
18,9,18,39,1009
